S_N,Site_ID,Site_Name,cell Name,LAC,Cell_ID,LAT,LONG,NEAREST_SCHOOL,Cell_Name
3257,SL0002,LKROAD,,4200,400021,8.48491,-13.217968,"Bethel Infants Municipal School(Primary)|Approved|Mission/religious group,Abu Kohla Learnig Center(Pre-Primary)|Approved|Private,Abu Kohla Learning Center(Primary)|Approved|Private,Basharia Lslamic Primary School(Primary)|Not Approved|Mission/religious group,Ginger Hall Daycare Pre-Primary School(Pre-Primary)|Not Approved|Community",LKROAD1
3258,SL0002,LKROAD,,4200,400022,8.48491,-13.217968,"Bethel Infants Municipal School(Primary)|Approved|Mission/religious group,Abu Kohla Learnig Center(Pre-Primary)|Approved|Private,Abu Kohla Learning Center(Primary)|Approved|Private,Basharia Lslamic Primary School(Primary)|Not Approved|Mission/religious group,Ginger Hall Daycare Pre-Primary School(Pre-Primary)|Not Approved|Community",LKROAD2
3259,SL0002,LKROAD,,4200,400023,8.48491,-13.217968,"Bethel Infants Municipal School(Primary)|Approved|Mission/religious group,Abu Kohla Learnig Center(Pre-Primary)|Approved|Private,Abu Kohla Learning Center(Primary)|Approved|Private,Basharia Lslamic Primary School(Primary)|Not Approved|Mission/religious group,Ginger Hall Daycare Pre-Primary School(Pre-Primary)|Not Approved|Community",LKROAD3
7,SL0003,Kissy House,,22000,20031,8.4841,-13.2382,"Mercy Nursery And Preparatory School(Primary)|Applied for Approval|Private,Mercy Nursery And Preparatory School(Pre-Primary)|Applied for Approval|Private,Samaria Wam Primary School(Primary)|Approved|Mission/religious group,Al-Mustapha Islamic Primary School(Primary)|Applied for Approval|Private,Methodist City Mission(Primary)|Approved|Government",KHOUSE1
8,SL0003,Kissy House,,22000,20032,8.4841,-13.2382,"Mercy Nursery And Preparatory School(Primary)|Applied for Approval|Private,Mercy Nursery And Preparatory School(Pre-Primary)|Applied for Approval|Private,Samaria Wam Primary School(Primary)|Approved|Mission/religious group,Al-Mustapha Islamic Primary School(Primary)|Applied for Approval|Private,Methodist City Mission(Primary)|Approved|Government",KHOUSE2
9,SL0003,Kissy House,,22000,20033,8.4841,-13.2382,"Mercy Nursery And Preparatory School(Primary)|Applied for Approval|Private,Mercy Nursery And Preparatory School(Pre-Primary)|Applied for Approval|Private,Samaria Wam Primary School(Primary)|Approved|Mission/religious group,Al-Mustapha Islamic Primary School(Primary)|Applied for Approval|Private,Methodist City Mission(Primary)|Approved|Government",KHOUSE3
1121,SL0003,Kissy House,,31000,10031,8.4841,-13.2382,"Mercy Nursery And Preparatory School(Primary)|Applied for Approval|Private,Mercy Nursery And Preparatory School(Pre-Primary)|Applied for Approval|Private,Samaria Wam Primary School(Primary)|Approved|Mission/religious group,Al-Mustapha Islamic Primary School(Primary)|Applied for Approval|Private,Methodist City Mission(Primary)|Approved|Government",UKHOUSA
1122,SL0003,Kissy House,,31000,10032,8.4841,-13.2382,"Mercy Nursery And Preparatory School(Primary)|Applied for Approval|Private,Mercy Nursery And Preparatory School(Pre-Primary)|Applied for Approval|Private,Samaria Wam Primary School(Primary)|Approved|Mission/religious group,Al-Mustapha Islamic Primary School(Primary)|Applied for Approval|Private,Methodist City Mission(Primary)|Approved|Government",UKHOUSB
1123,SL0003,Kissy House,,31000,10033,8.4841,-13.2382,"Mercy Nursery And Preparatory School(Primary)|Applied for Approval|Private,Mercy Nursery And Preparatory School(Pre-Primary)|Applied for Approval|Private,Samaria Wam Primary School(Primary)|Approved|Mission/religious group,Al-Mustapha Islamic Primary School(Primary)|Applied for Approval|Private,Methodist City Mission(Primary)|Approved|Government",UKHOUSC
1124,SL0003,Kissy House,,31000,30031,8.4841,-13.2382,"Mercy Nursery And Preparatory School(Primary)|Applied for Approval|Private,Mercy Nursery And Preparatory School(Pre-Primary)|Applied for Approval|Private,Samaria Wam Primary School(Primary)|Approved|Mission/religious group,Al-Mustapha Islamic Primary School(Primary)|Applied for Approval|Private,Methodist City Mission(Primary)|Approved|Government",UKHOUSI
1125,SL0003,Kissy House,,31000,30032,8.4841,-13.2382,"Mercy Nursery And Preparatory School(Primary)|Applied for Approval|Private,Mercy Nursery And Preparatory School(Pre-Primary)|Applied for Approval|Private,Samaria Wam Primary School(Primary)|Approved|Mission/religious group,Al-Mustapha Islamic Primary School(Primary)|Applied for Approval|Private,Methodist City Mission(Primary)|Approved|Government",UKHOUSJ
1126,SL0003,Kissy House,,31000,30033,8.4841,-13.2382,"Mercy Nursery And Preparatory School(Primary)|Applied for Approval|Private,Mercy Nursery And Preparatory School(Pre-Primary)|Applied for Approval|Private,Samaria Wam Primary School(Primary)|Approved|Mission/religious group,Al-Mustapha Islamic Primary School(Primary)|Applied for Approval|Private,Methodist City Mission(Primary)|Approved|Government",UKHOUSK
1127,SL0003,Kissy House,,31000,30034,8.4841,-13.2382,"Mercy Nursery And Preparatory School(Primary)|Applied for Approval|Private,Mercy Nursery And Preparatory School(Pre-Primary)|Applied for Approval|Private,Samaria Wam Primary School(Primary)|Approved|Mission/religious group,Al-Mustapha Islamic Primary School(Primary)|Applied for Approval|Private,Methodist City Mission(Primary)|Approved|Government",UKHOUSM
1128,SL0003,Kissy House,,31000,30035,8.4841,-13.2382,"Mercy Nursery And Preparatory School(Primary)|Applied for Approval|Private,Mercy Nursery And Preparatory School(Pre-Primary)|Applied for Approval|Private,Samaria Wam Primary School(Primary)|Approved|Mission/religious group,Al-Mustapha Islamic Primary School(Primary)|Applied for Approval|Private,Methodist City Mission(Primary)|Approved|Government",UKHOUSN
1129,SL0003,Kissy House,,31000,30036,8.4841,-13.2382,"Mercy Nursery And Preparatory School(Primary)|Applied for Approval|Private,Mercy Nursery And Preparatory School(Pre-Primary)|Applied for Approval|Private,Samaria Wam Primary School(Primary)|Approved|Mission/religious group,Al-Mustapha Islamic Primary School(Primary)|Applied for Approval|Private,Methodist City Mission(Primary)|Approved|Government",UKHOUSP
1130,SL0003,Kissy House,,31000,30037,8.4841,-13.2382,"Mercy Nursery And Preparatory School(Primary)|Applied for Approval|Private,Mercy Nursery And Preparatory School(Pre-Primary)|Applied for Approval|Private,Samaria Wam Primary School(Primary)|Approved|Mission/religious group,Al-Mustapha Islamic Primary School(Primary)|Applied for Approval|Private,Methodist City Mission(Primary)|Approved|Government",UKHOUSX
1131,SL0003,Kissy House,,31000,30038,8.4841,-13.2382,"Mercy Nursery And Preparatory School(Primary)|Applied for Approval|Private,Mercy Nursery And Preparatory School(Pre-Primary)|Applied for Approval|Private,Samaria Wam Primary School(Primary)|Approved|Mission/religious group,Al-Mustapha Islamic Primary School(Primary)|Applied for Approval|Private,Methodist City Mission(Primary)|Approved|Government",UKHOUSY
1132,SL0003,Kissy House,,31000,30039,8.4841,-13.2382,"Mercy Nursery And Preparatory School(Primary)|Applied for Approval|Private,Mercy Nursery And Preparatory School(Pre-Primary)|Applied for Approval|Private,Samaria Wam Primary School(Primary)|Approved|Mission/religious group,Al-Mustapha Islamic Primary School(Primary)|Applied for Approval|Private,Methodist City Mission(Primary)|Approved|Government",UKHOUSZ
3248,SL0003,LKHOUS,,4200,400031,8.4841,-13.2382,"Mercy Nursery And Preparatory School(Primary)|Applied for Approval|Private,Mercy Nursery And Preparatory School(Pre-Primary)|Applied for Approval|Private,Samaria Wam Primary School(Primary)|Approved|Mission/religious group,Al-Mustapha Islamic Primary School(Primary)|Applied for Approval|Private,Methodist City Mission(Primary)|Approved|Government",LKHOUS1
3249,SL0003,LKHOUS,,4200,400032,8.4841,-13.2382,"Mercy Nursery And Preparatory School(Primary)|Applied for Approval|Private,Mercy Nursery And Preparatory School(Pre-Primary)|Applied for Approval|Private,Samaria Wam Primary School(Primary)|Approved|Mission/religious group,Al-Mustapha Islamic Primary School(Primary)|Applied for Approval|Private,Methodist City Mission(Primary)|Approved|Government",LKHOUS2
3250,SL0003,LKHOUS,,4200,400033,8.4841,-13.2382,"Mercy Nursery And Preparatory School(Primary)|Applied for Approval|Private,Mercy Nursery And Preparatory School(Pre-Primary)|Applied for Approval|Private,Samaria Wam Primary School(Primary)|Approved|Mission/religious group,Al-Mustapha Islamic Primary School(Primary)|Applied for Approval|Private,Methodist City Mission(Primary)|Approved|Government",LKHOUS3
10,SL0004,Murray Town,,21000,20041,8.488774,-13.265906,"Udifa Daycare And Nursery(Pre-Primary)|Applied for Approval|Private,Saint George's Catholic Pre Primary School(Pre-Primary)|Approved|Mission/religious group,Saint George's Catholic Primary School(Primary)|Not Approved|Mission/religious group,Wonderland Nursery And Preparatory School(Primary)|Approved|Private,Edval Junior Secondary School(Junior Secondary)|Approved|Private",MTOWN1
11,SL0004,Murray Town,,21000,20042,8.488774,-13.265906,"Udifa Daycare And Nursery(Pre-Primary)|Applied for Approval|Private,Saint George's Catholic Pre Primary School(Pre-Primary)|Approved|Mission/religious group,Saint George's Catholic Primary School(Primary)|Not Approved|Mission/religious group,Wonderland Nursery And Preparatory School(Primary)|Approved|Private,Edval Junior Secondary School(Junior Secondary)|Approved|Private",MTOWN2
12,SL0004,Murray Town,,21000,20043,8.488774,-13.265906,"Udifa Daycare And Nursery(Pre-Primary)|Applied for Approval|Private,Saint George's Catholic Pre Primary School(Pre-Primary)|Approved|Mission/religious group,Saint George's Catholic Primary School(Primary)|Not Approved|Mission/religious group,Wonderland Nursery And Preparatory School(Primary)|Approved|Private,Edval Junior Secondary School(Junior Secondary)|Approved|Private",MTOWN3
13,SL0004,Murray Town,,21000,20044,8.488774,-13.265906,"Udifa Daycare And Nursery(Pre-Primary)|Applied for Approval|Private,Saint George's Catholic Pre Primary School(Pre-Primary)|Approved|Mission/religious group,Saint George's Catholic Primary School(Primary)|Not Approved|Mission/religious group,Wonderland Nursery And Preparatory School(Primary)|Approved|Private,Edval Junior Secondary School(Junior Secondary)|Approved|Private",MTOWN4
1133,SL0004,Murray Town,,30000,10041,8.488774,-13.265906,"Udifa Daycare And Nursery(Pre-Primary)|Applied for Approval|Private,Saint George's Catholic Pre Primary School(Pre-Primary)|Approved|Mission/religious group,Saint George's Catholic Primary School(Primary)|Not Approved|Mission/religious group,Wonderland Nursery And Preparatory School(Primary)|Approved|Private,Edval Junior Secondary School(Junior Secondary)|Approved|Private",UMTOWNA
1134,SL0004,Murray Town,,30000,10042,8.488774,-13.265906,"Udifa Daycare And Nursery(Pre-Primary)|Applied for Approval|Private,Saint George's Catholic Pre Primary School(Pre-Primary)|Approved|Mission/religious group,Saint George's Catholic Primary School(Primary)|Not Approved|Mission/religious group,Wonderland Nursery And Preparatory School(Primary)|Approved|Private,Edval Junior Secondary School(Junior Secondary)|Approved|Private",UMTOWNB
1135,SL0004,Murray Town,,30000,10043,8.488774,-13.265906,"Udifa Daycare And Nursery(Pre-Primary)|Applied for Approval|Private,Saint George's Catholic Pre Primary School(Pre-Primary)|Approved|Mission/religious group,Saint George's Catholic Primary School(Primary)|Not Approved|Mission/religious group,Wonderland Nursery And Preparatory School(Primary)|Approved|Private,Edval Junior Secondary School(Junior Secondary)|Approved|Private",UMTOWNC
1136,SL0004,Murray Town,,30000,30041,8.488774,-13.265906,"Udifa Daycare And Nursery(Pre-Primary)|Applied for Approval|Private,Saint George's Catholic Pre Primary School(Pre-Primary)|Approved|Mission/religious group,Saint George's Catholic Primary School(Primary)|Not Approved|Mission/religious group,Wonderland Nursery And Preparatory School(Primary)|Approved|Private,Edval Junior Secondary School(Junior Secondary)|Approved|Private",UMTOWNI
1137,SL0004,Murray Town,,30000,30042,8.488774,-13.265906,"Udifa Daycare And Nursery(Pre-Primary)|Applied for Approval|Private,Saint George's Catholic Pre Primary School(Pre-Primary)|Approved|Mission/religious group,Saint George's Catholic Primary School(Primary)|Not Approved|Mission/religious group,Wonderland Nursery And Preparatory School(Primary)|Approved|Private,Edval Junior Secondary School(Junior Secondary)|Approved|Private",UMTOWNJ
1138,SL0004,Murray Town,,30000,30043,8.488774,-13.265906,"Udifa Daycare And Nursery(Pre-Primary)|Applied for Approval|Private,Saint George's Catholic Pre Primary School(Pre-Primary)|Approved|Mission/religious group,Saint George's Catholic Primary School(Primary)|Not Approved|Mission/religious group,Wonderland Nursery And Preparatory School(Primary)|Approved|Private,Edval Junior Secondary School(Junior Secondary)|Approved|Private",UMTOWNK
1139,SL0004,Murray Town,,30000,30044,8.488774,-13.265906,"Udifa Daycare And Nursery(Pre-Primary)|Applied for Approval|Private,Saint George's Catholic Pre Primary School(Pre-Primary)|Approved|Mission/religious group,Saint George's Catholic Primary School(Primary)|Not Approved|Mission/religious group,Wonderland Nursery And Preparatory School(Primary)|Approved|Private,Edval Junior Secondary School(Junior Secondary)|Approved|Private",UMTOWNM
1140,SL0004,Murray Town,,30000,30045,8.488774,-13.265906,"Udifa Daycare And Nursery(Pre-Primary)|Applied for Approval|Private,Saint George's Catholic Pre Primary School(Pre-Primary)|Approved|Mission/religious group,Saint George's Catholic Primary School(Primary)|Not Approved|Mission/religious group,Wonderland Nursery And Preparatory School(Primary)|Approved|Private,Edval Junior Secondary School(Junior Secondary)|Approved|Private",UMTOWNN
1141,SL0004,Murray Town,,30000,30046,8.488774,-13.265906,"Udifa Daycare And Nursery(Pre-Primary)|Applied for Approval|Private,Saint George's Catholic Pre Primary School(Pre-Primary)|Approved|Mission/religious group,Saint George's Catholic Primary School(Primary)|Not Approved|Mission/religious group,Wonderland Nursery And Preparatory School(Primary)|Approved|Private,Edval Junior Secondary School(Junior Secondary)|Approved|Private",UMTOWNP
1142,SL0004,Murray Town,,30000,30047,8.488774,-13.265906,"Udifa Daycare And Nursery(Pre-Primary)|Applied for Approval|Private,Saint George's Catholic Pre Primary School(Pre-Primary)|Approved|Mission/religious group,Saint George's Catholic Primary School(Primary)|Not Approved|Mission/religious group,Wonderland Nursery And Preparatory School(Primary)|Approved|Private,Edval Junior Secondary School(Junior Secondary)|Approved|Private",UMTOWNX
1143,SL0004,Murray Town,,30000,30048,8.488774,-13.265906,"Udifa Daycare And Nursery(Pre-Primary)|Applied for Approval|Private,Saint George's Catholic Pre Primary School(Pre-Primary)|Approved|Mission/religious group,Saint George's Catholic Primary School(Primary)|Not Approved|Mission/religious group,Wonderland Nursery And Preparatory School(Primary)|Approved|Private,Edval Junior Secondary School(Junior Secondary)|Approved|Private",UMTOWNY
1144,SL0004,Murray Town,,30000,30049,8.488774,-13.265906,"Udifa Daycare And Nursery(Pre-Primary)|Applied for Approval|Private,Saint George's Catholic Pre Primary School(Pre-Primary)|Approved|Mission/religious group,Saint George's Catholic Primary School(Primary)|Not Approved|Mission/religious group,Wonderland Nursery And Preparatory School(Primary)|Approved|Private,Edval Junior Secondary School(Junior Secondary)|Approved|Private",UMTOWNZ
3224,SL0004,LMTOWN,,4100,400041,8.488774,-13.265906,"Udifa Daycare And Nursery(Pre-Primary)|Applied for Approval|Private,Saint George's Catholic Pre Primary School(Pre-Primary)|Approved|Mission/religious group,Saint George's Catholic Primary School(Primary)|Not Approved|Mission/religious group,Wonderland Nursery And Preparatory School(Primary)|Approved|Private,Edval Junior Secondary School(Junior Secondary)|Approved|Private",LMTOWN1
