S_N,Site_Name,Site_ID,LAT,LONG,MCC,MNC,Cell_Name,LAC,Cell_ID,NEAREST_FACILITY,Site_ID,Site_RName,Cell_Name
11,,,8.46567,-13.262365,619,1,,10000,1016,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,UWFRCEP
12,,,8.46567,-13.262365,619,1,,10000,1016,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,UWFRCEP
13,,,8.46567,-13.262365,619,1,,10000,1017,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,UWFRCEX
14,,,8.46567,-13.262365,619,1,,10000,1017,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,UWFRCEX
15,,,8.46567,-13.262365,619,1,,10000,1018,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,UWFRCEY
16,,,8.46567,-13.262365,619,1,,10000,1018,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,UWFRCEY
17,,,8.46567,-13.262365,619,1,,10000,1019,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,UWFRCEZ
18,,,8.46567,-13.262365,619,1,,10000,1019,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,UWFRCEZ
19,,,8.46567,-13.262365,619,1,,21000,20011,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,WFORCE1
20,,,8.46567,-13.262365,619,1,,21000,20012,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,WFORCE2
21,,,8.46567,-13.262365,619,1,,21000,20013,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,WFORCE3
22,,,8.48491,-13.217968,619,1,,22000,20021,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,KROAD1
23,,,8.48491,-13.217968,619,1,,22000,20022,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,KROAD2
24,,,8.48491,-13.217968,619,1,,22000,20023,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,KROAD3
25,,,8.48491,-13.217968,619,1,,10003,30401,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,UKROADI
26,,,8.48491,-13.217968,619,1,,10003,30401,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,UKROADI
27,,,8.48491,-13.217968,619,1,,10003,30402,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,UKROADJ
28,,,8.48491,-13.217968,619,1,,10003,30402,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,UKROADJ
29,,,8.48491,-13.217968,619,1,,10003,30403,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,UKROADK
30,,,8.48491,-13.217968,619,1,,10003,30403,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,UKROADK
31,,,8.48491,-13.217968,619,1,,10003,2164,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,UKROADM
32,,,8.48491,-13.217968,619,1,,10003,2164,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,UKROADM
33,,,8.48491,-13.217968,619,1,,10003,2165,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,UKROADN
34,,,8.48491,-13.217968,619,1,,10003,2165,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,UKROADN
35,,,8.48491,-13.217968,619,1,,10003,2166,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,UKROADP
36,,,8.48491,-13.217968,619,1,,10003,2166,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,UKROADP
37,,,8.48491,-13.217968,619,1,,10003,2167,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,UKROADX
38,,,8.48491,-13.217968,619,1,,10003,2167,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,UKROADX
39,,,8.48491,-13.217968,619,1,,10003,2168,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,UKROADY
40,,,8.48491,-13.217968,619,1,,10003,2168,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,UKROADY
41,,,8.48491,-13.217968,619,1,,10003,2169,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,UKROADZ
42,,,8.48491,-13.217968,619,1,,10003,2169,"Holy Spirit Catholic Hospital(Hospital),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0002,Kissy Road,UKROADZ
43,,,8.4841,-13.2382,619,1,,22000,20031,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,KHOUSE1
44,,,8.4841,-13.2382,619,1,,22000,20032,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,KHOUSE2
45,,,8.4841,-13.2382,619,1,,22000,20033,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,KHOUSE3
46,,,8.4841,-13.2382,619,1,,10003,30351,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,UKHOUSI
47,,,8.4841,-13.2382,619,1,,10003,30351,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,UKHOUSI
48,,,8.4841,-13.2382,619,1,,10003,30352,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,UKHOUSJ
49,,,8.4841,-13.2382,619,1,,10003,30352,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,UKHOUSJ
50,,,8.4841,-13.2382,619,1,,10003,30353,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,UKHOUSK
51,,,8.4841,-13.2382,619,1,,10003,30353,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,UKHOUSK
52,,,8.4841,-13.2382,619,1,,10003,314,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,UKHOUSM
53,,,8.4841,-13.2382,619,1,,10003,314,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,UKHOUSM
54,,,8.4841,-13.2382,619,1,,10003,315,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,UKHOUSN
55,,,8.4841,-13.2382,619,1,,10003,315,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,UKHOUSN
56,,,8.4841,-13.2382,619,1,,10003,316,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,UKHOUSP
57,,,8.4841,-13.2382,619,1,,10003,316,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,UKHOUSP
58,,,8.4841,-13.2382,619,1,,10003,317,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,UKHOUSX
59,,,8.4841,-13.2382,619,1,,10003,317,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,UKHOUSX
60,,,8.4841,-13.2382,619,1,,10003,318,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,UKHOUSY
61,,,8.4841,-13.2382,619,1,,10003,318,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,UKHOUSY
62,,,8.4841,-13.2382,619,1,,10003,319,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,UKHOUSZ
63,,,8.4841,-13.2382,619,1,,10003,319,"Kroo Bay(CHC),Connaught Hospital Mortuary(Hospital),Mambo (CHP),Parliament(CHP),Wesleyan Clinic(CHP)",SL0003,Kissy House,UKHOUSZ
64,,,8.488774,-13.265906,619,1,,21000,20041,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,MTOWN1
65,,,8.488774,-13.265906,619,1,,21000,20042,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,MTOWN2
66,,,8.488774,-13.265906,619,1,,21000,20043,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,MTOWN3
67,,,8.488774,-13.265906,619,1,,21000,20044,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,MTOWN4
68,,,8.488774,-13.265906,619,1,,10000,30481,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,UMTOWNI
69,,,8.488774,-13.265906,619,1,,10000,30481,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,UMTOWNI
70,,,8.488774,-13.265906,619,1,,10000,30482,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,UMTOWNJ
71,,,8.488774,-13.265906,619,1,,10000,30482,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,UMTOWNJ
72,,,8.488774,-13.265906,619,1,,10000,30483,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,UMTOWNK
73,,,8.488774,-13.265906,619,1,,10000,30483,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,UMTOWNK
74,,,8.488774,-13.265906,619,1,,10000,2204,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,UMTOWNM
75,,,8.488774,-13.265906,619,1,,10000,2204,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,UMTOWNM
76,,,8.488774,-13.265906,619,1,,10000,2205,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,UMTOWNN
77,,,8.488774,-13.265906,619,1,,10000,2205,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,UMTOWNN
78,,,8.488774,-13.265906,619,1,,10000,2206,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,UMTOWNP
79,,,8.488774,-13.265906,619,1,,10000,2206,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,UMTOWNP
80,,,8.488774,-13.265906,619,1,,10000,2207,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,UMTOWNX
81,,,8.488774,-13.265906,619,1,,10000,2207,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,UMTOWNX
82,,,8.488774,-13.265906,619,1,,10000,2208,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,UMTOWNY
83,,,8.488774,-13.265906,619,1,,10000,2208,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,UMTOWNY
84,,,8.488774,-13.265906,619,1,,10000,2209,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,UMTOWNZ
85,,,8.488774,-13.265906,619,1,,10000,2209,"Murray Town MI Room(CHP),Marie Stopes (EPI)(Hospital),Lumley Government Hospital(Hospital),Blessed Mokaba Central (EPI)(CHP),Signal Hill Rd(MCHP)",SL0004,Murray Town,UMTOWNZ
86,,,8.476241,-13.248337,619,1,,10000,30601,"Youyi Building Clinic(Clinic),Wellington Medical Store(CHC),Methodist Community Clinic(CHP),Ross Road (BEmONC)(CHC),Mabella(CHC)",SL0005,Youyi Building,UYOUYII
87,,,8.476241,-13.248337,619,1,,10000,30602,"Youyi Building Clinic(Clinic),Wellington Medical Store(CHC),Methodist Community Clinic(CHP),Ross Road (BEmONC)(CHC),Mabella(CHC)",SL0005,Youyi Building,UYOUYIJ
88,,,8.476241,-13.248337,619,1,,10000,30603,"Youyi Building Clinic(Clinic),Wellington Medical Store(CHC),Methodist Community Clinic(CHP),Ross Road (BEmONC)(CHC),Mabella(CHC)",SL0005,Youyi Building,UYOUYIK
89,,,8.476241,-13.248337,619,1,,10000,474,"Youyi Building Clinic(Clinic),Wellington Medical Store(CHC),Methodist Community Clinic(CHP),Ross Road (BEmONC)(CHC),Mabella(CHC)",SL0005,Youyi Building,UYOUYIM
90,,,8.476241,-13.248337,619,1,,10000,475,"Youyi Building Clinic(Clinic),Wellington Medical Store(CHC),Methodist Community Clinic(CHP),Ross Road (BEmONC)(CHC),Mabella(CHC)",SL0005,Youyi Building,UYOUYIN
91,,,8.476241,-13.248337,619,1,,10000,476,"Youyi Building Clinic(Clinic),Wellington Medical Store(CHC),Methodist Community Clinic(CHP),Ross Road (BEmONC)(CHC),Mabella(CHC)",SL0005,Youyi Building,UYOUYIP
92,,,8.476241,-13.248337,619,1,,10000,477,"Youyi Building Clinic(Clinic),Wellington Medical Store(CHC),Methodist Community Clinic(CHP),Ross Road (BEmONC)(CHC),Mabella(CHC)",SL0005,Youyi Building,UYOUYIX
93,,,8.476241,-13.248337,619,1,,10000,478,"Youyi Building Clinic(Clinic),Wellington Medical Store(CHC),Methodist Community Clinic(CHP),Ross Road (BEmONC)(CHC),Mabella(CHC)",SL0005,Youyi Building,UYOUYIY
94,,,8.476241,-13.248337,619,1,,10000,479,"Youyi Building Clinic(Clinic),Wellington Medical Store(CHC),Methodist Community Clinic(CHP),Ross Road (BEmONC)(CHC),Mabella(CHC)",SL0005,Youyi Building,UYOUYIZ
95,,,8.476241,-13.248337,619,1,,21000,20051,"Youyi Building Clinic(Clinic),Wellington Medical Store(CHC),Methodist Community Clinic(CHP),Ross Road (BEmONC)(CHC),Mabella(CHC)",SL0005,Youyi Building,YOUYI1
96,,,8.476241,-13.248337,619,1,,21000,20052,"Youyi Building Clinic(Clinic),Wellington Medical Store(CHC),Methodist Community Clinic(CHP),Ross Road (BEmONC)(CHC),Mabella(CHC)",SL0005,Youyi Building,YOUYI2
97,,,8.476241,-13.248337,619,1,,21000,20053,"Youyi Building Clinic(Clinic),Wellington Medical Store(CHC),Methodist Community Clinic(CHP),Ross Road (BEmONC)(CHC),Mabella(CHC)",SL0005,Youyi Building,YOUYI3
98,,,8.48671,-13.22895,619,1,,22000,20061,"Susan's Bay(CHC),Wesleyan Clinic(CHP),Parliament(CHP),Mambo (CHP),Connaught Hospital Mortuary(Hospital)",SL0006,Goderich Street,GODSTR1
99,,,8.48671,-13.22895,619,1,,22000,20062,"Susan's Bay(CHC),Wesleyan Clinic(CHP),Parliament(CHP),Mambo (CHP),Connaught Hospital Mortuary(Hospital)",SL0006,Goderich Street,GODSTR2
100,,,8.48671,-13.22895,619,1,,22000,20063,"Susan's Bay(CHC),Wesleyan Clinic(CHP),Parliament(CHP),Mambo (CHP),Connaught Hospital Mortuary(Hospital)",SL0006,Goderich Street,GODSTR3
101,,,8.48671,-13.22895,619,1,,10003,30251,"Susan's Bay(CHC),Wesleyan Clinic(CHP),Parliament(CHP),Mambo (CHP),Connaught Hospital Mortuary(Hospital)",SL0006,Goderich Street,UGODSTI
102,,,8.48671,-13.22895,619,1,,10003,30252,"Susan's Bay(CHC),Wesleyan Clinic(CHP),Parliament(CHP),Mambo (CHP),Connaught Hospital Mortuary(Hospital)",SL0006,Goderich Street,UGODSTJ
103,,,8.48671,-13.22895,619,1,,10003,30253,"Susan's Bay(CHC),Wesleyan Clinic(CHP),Parliament(CHP),Mambo (CHP),Connaught Hospital Mortuary(Hospital)",SL0006,Goderich Street,UGODSTK
104,,,8.48671,-13.22895,619,1,,10003,174,"Susan's Bay(CHC),Wesleyan Clinic(CHP),Parliament(CHP),Mambo (CHP),Connaught Hospital Mortuary(Hospital)",SL0006,Goderich Street,UGODSTM
105,,,8.48671,-13.22895,619,1,,10003,175,"Susan's Bay(CHC),Wesleyan Clinic(CHP),Parliament(CHP),Mambo (CHP),Connaught Hospital Mortuary(Hospital)",SL0006,Goderich Street,UGODSTN
106,,,8.48671,-13.22895,619,1,,10003,176,"Susan's Bay(CHC),Wesleyan Clinic(CHP),Parliament(CHP),Mambo (CHP),Connaught Hospital Mortuary(Hospital)",SL0006,Goderich Street,UGODSTP
107,,,8.48671,-13.22895,619,1,,10003,177,"Susan's Bay(CHC),Wesleyan Clinic(CHP),Parliament(CHP),Mambo (CHP),Connaught Hospital Mortuary(Hospital)",SL0006,Goderich Street,UGODSTX
108,,,8.48671,-13.22895,619,1,,10003,178,"Susan's Bay(CHC),Wesleyan Clinic(CHP),Parliament(CHP),Mambo (CHP),Connaught Hospital Mortuary(Hospital)",SL0006,Goderich Street,UGODSTY
109,,,8.48671,-13.22895,619,1,,10003,179,"Susan's Bay(CHC),Wesleyan Clinic(CHP),Parliament(CHP),Mambo (CHP),Connaught Hospital Mortuary(Hospital)",SL0006,Goderich Street,UGODSTZ
110,,,8.486009,-13.2363,619,1,,22000,20074,"Connaught Hospital Mortuary(Hospital),Kroo Bay(CHC),Wesleyan Clinic(CHP),Parliament(CHP),Mambo (CHP)",SL0007,Electricity House,ELECT4
111,,,8.486009,-13.2363,619,1,,22000,20075,"Connaught Hospital Mortuary(Hospital),Kroo Bay(CHC),Wesleyan Clinic(CHP),Parliament(CHP),Mambo (CHP)",SL0007,Electricity House,ELECT5
112,,,8.486009,-13.2363,619,1,,22000,20076,"Connaught Hospital Mortuary(Hospital),Kroo Bay(CHC),Wesleyan Clinic(CHP),Parliament(CHP),Mambo (CHP)",SL0007,Electricity House,ELECT6
113,,,8.486009,-13.2363,619,1,,10003,30191,"Connaught Hospital Mortuary(Hospital),Kroo Bay(CHC),Wesleyan Clinic(CHP),Parliament(CHP),Mambo (CHP)",SL0007,Electricity House,UELECTI
114,,,8.486009,-13.2363,619,1,,10003,30192,"Connaught Hospital Mortuary(Hospital),Kroo Bay(CHC),Wesleyan Clinic(CHP),Parliament(CHP),Mambo (CHP)",SL0007,Electricity House,UELECTJ
115,,,8.486009,-13.2363,619,1,,10003,30193,"Connaught Hospital Mortuary(Hospital),Kroo Bay(CHC),Wesleyan Clinic(CHP),Parliament(CHP),Mambo (CHP)",SL0007,Electricity House,UELECTK
